galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
central VELA02 310 2.982 2.22580645161 1 F160W 300.5607 0.0895 300.6516 0.0306 19.0938 0.0028 40.7583 0.1008 40.7583 0.1008 0.9611 0.0033 0.3452 0.0009 87.5540 0.0688 0.219582492111 0.000e+00
central VELA02 310 2.982 2.22580645161 5 F160W 299.7273 0.1086 302.5731 0.0990 19.0391 0.0037 36.7435 0.1289 36.7435 0.1289 0.8294 0.0031 0.8977 0.0021 76.1461 0.9878 0.382239736345 0.000e+00
other VELA02 310 2.982 2.22580645161 5 F160W 168.7367 0.0268 35.4633 0.0147 21.6388 0.0122 14.5583 0.3280 14.5583 0.328 4.1594 0.0683 0.4814 0.0074 -40.2997 0.7150 0.600331347409 0.000e+00
central VELA02 310 2.982 2.22580645161 6 F160W 302.0020 0.1293 301.9788 0.0532 19.0859 0.0033 47.1167 0.1474 47.1167 0.1474 0.8215 0.0031 0.4264 0.0013 -89.0965 0.1113 0.391736154292 0.000e+00
other VELA02 310 2.982 2.22580645161 7 F160W 71.9631 0.0628 114.2663 0.0379 22.4985 0.0153 14.2269 0.2856 14.2269 0.2856 3.0848 0.0556 0.5575 0.0080 -79.4692 0.9108 0.954290592183 0.000e+00
central VELA02 310 2.982 2.22580645161 7 F160W 300.8952 0.0806 302.3583 0.0711 19.0814 0.0034 39.0693 0.1215 39.0693 0.1215 0.8304 0.0035 0.8524 0.0021 -43.0938 0.6114 0.382489380179 0.000e+00
other VELA02 310 2.982 2.22580645161 8 F160W 101.7287 0.0628 96.1456 0.0378 22.5104 0.0166 15.2033 0.3512 15.2033 0.3512 2.9413 0.0617 0.5180 0.0093 -69.4015 0.7758 0.96407414937 0.000e+00
central VELA02 310 2.982 2.22580645161 8 F160W 300.7339 0.0793 302.1898 0.0721 19.0665 0.0035 37.9316 0.1233 37.9316 0.1233 0.8615 0.0036 0.8926 0.0022 -39.5175 0.8959 0.377676230943 0.000e+00
other VELA02 320 3.124 2.125 0 F160W 401.5328 0.0565 128.1873 0.0738 21.0054 0.0108 11.7119 0.1449 11.7119 0.1449 1.5937 0.0160 0.7584 0.0068 7.4373 1.3546 0.60205546253 0.000e+00
central VELA02 320 3.124 2.125 0 F160W 299.1077 0.0789 301.2704 0.0860 18.9649 0.0041 37.1306 0.1229 37.1306 0.1229 1.0665 0.0046 0.8366 0.0029 46.9743 0.7384 0.354503905268 0.000e+00
other VELA02 320 3.124 2.125 0 F160W 293.3910 0.0315 225.8774 0.0420 19.8762 0.0053 18.0208 0.1375 18.0208 0.1375 2.3845 0.0175 0.7901 0.0050 -38.8091 1.0939 0.44987203122 0.000e+00
other VELA02 320 3.124 2.125 1 F160W 362.4969 0.0220 269.4832 0.0143 20.1247 0.0070 11.3383 0.0944 11.3383 0.0944 2.6689 0.0173 0.6452 0.0037 -78.5494 0.5863 0.427716202337 0.000e+00
other VELA02 320 3.124 2.125 1 F160W 414.4970 0.1616 538.9149 0.4016 22.2808 0.0170 101.8514 4.8967 101.8514 4.8967 3.0724 0.1181 0.3016 0.0071 -26.0334 0.6993 1.00679326135 0.000e+00
central VELA02 320 3.124 2.125 1 F160W 304.4472 0.1179 300.9689 0.0523 19.0174 0.0041 44.1630 0.1532 44.163 0.1532 0.9445 0.0037 0.3498 0.0014 -66.0847 0.1061 0.290966249395 0.000e+00
